作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
唐菖蒲(劍蘭)(元/支),2017年,2.28,5.52,3.2,4.28,2.77,3.42,4.82,5.43,5.49,3.53,-,-,
葵百合(紅)(元/支),2017年,-,-,-,-,-,28.78,21.89,-,14.96,18.46,-,-,
姬百合(橙)(元/支),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
香水百合(白)(元/支),2017年,16.48,34.11,23.98,24.33,24.67,28.19,21.21,22.48,23.73,23.05,-,-,
香水百合(黃)(元/支),2017年,17.25,29.17,24.32,21.83,21.67,24,-,-,-,19.50,-,-,
大理花(元/支),2017年,-,-,-,-,-,-,17,-,-,-,-,-,
聖誕紅(元/盆),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
蘿蔔(元/公斤),2016年,6.44,14.28,16.77,13.40,11.87,13.25,14.64,9.88,10,20.01,20,9.15,
白玉蘿蔔(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
胡蘿蔔(元/公斤),2016年,16.63,15.63,15.36,18.17,20.08,23,24.23,24.53,25.50,38.67,37.83,27.67,
山藥(元/公斤),2016年,40.50,40,40,40,-,-,-,-,50.83,52.83,43.83,41,
牛蒡(元/公斤),2016年,-,-,27.67,26.33,-,-,-,-,-,-,-,-,
生薑(嫩薑)(元/公斤),2016年,-,-,-,-,61.67,51,51.50,48,42.33,35.50,-,-,
生薑(老薑粉薑)(元/公斤),2016年,42.17,52.01,45.89,36.38,33.63,28.33,43.33,52,43.33,43.33,40,35,
芋頭(元/公斤),2016年,56.11,60.29,65,75.33,64,56.67,50,46.67,45,39.38,39.49,36.05,
綠竹筍(元/公斤),2016年,-,-,-,124.50,126.30,75.68,88.97,71.53,60.47,89.33,-,-,
烏殼;綠竹筍(元/公斤),2016年,-,-,-,47.33,34.67,26.67,26.67,26,25,55.67,-,-,
麻竹筍(元/公斤),2016年,36.67,40,50,42.78,42.50,30.61,24.75,25.33,23.92,59.78,35,16,
桂竹筍(生筍)(元/公斤 ),2016年,-,-,-,31.02,29.75,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2016年,-,-,-,-,32,32,-,-,-,-,-,-,
白蘆筍(元/公斤),2016年,-,-,-,-,86.67,98.33,153.83,147,145.50,112.67,-,-,
綠蘆筍(元/公斤),2016年,-,-,124.17,138.06,150.48,116.25,115.56,121.67,126.11,153.89,186.67,200,
茭白筍(帶殼)(元/公斤),2016年,-,90,94,85,60.67,58.33,56.67,59,66.67,62,71.67,-,
大芥菜(鮮食)(元/公斤),2016年,11.55,29.25,-,-,-,-,-,-,-,-,-,-,
馬鈴薯(食用)(元/公斤),2016年,21.04,25.32,23.92,24.42,24.53,24.50,25.27,25.70,26.17,27.17,29,22.70,
加工麻竹筍(元/公斤),2016年,-,-,-,-,-,20.22,14.17,11.32,11.64,-,-,-,
青蔥(元/公斤),2016年,85.46,88.48,73.37,40.40,25.99,21.23,21.65,27.26,42.47,100.09,76.63,50.77,
青蔥(北蔥)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
蔥頭(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
洋蔥(內銷)(元/公斤),2016年,12.50,13,14.46,16.12,23.53,25,25,-,-,-,-,16,
洋蔥(外銷)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
青蒜(元/公斤),2016年,61.50,90.63,59.62,59.38,-,-,-,-,-,-,-,70.29,
蒜頭(蒜球)(元/公斤),2016年,-,78,75.80,106.09,156.16,135.13,118.81,127.18,135.18,143.49,143.02,144.83,
荸薺(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
韭菜(元/公斤),2016年,39.56,43.17,43.22,33.22,21.78,23.56,27.67,30.11,44.11,92.44,68,42.33,
韭黃(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
蕹菜(空心菜)(元/公斤),2016年,41.76,66.23,57.13,41.77,20.38,20.33,23.29,20.35,35.23,50,38.77,36,
芹菜(土芹菜)(元/公斤),2016年,29.17,57.72,33.68,53.63,23.33,-,-,-,-,-,-,-,
甘藍(元/公斤),2016年,7.57,21.75,30.41,22.99,11.38,13.05,15.01,26.41,26.05,26.67,46.95,13.54,
甘藍芽(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
小白菜(元/公斤),2016年,27.06,47,27.70,19.26,17.08,20.67,24.50,15,31.50,47.99,19.19,15.03,
青江白菜(元/公斤),2016年,25.56,43.72,30.69,27.33,12.58,17.63,22.19,16.82,23.78,48.50,23.35,13.69,
結球白菜(元/ 公斤),2016年,9.86,25.62,24.63,13.83,11.20,13.52,14.52,19.57,18.03,27.05,24.74,9.23,
結球白菜(成功白)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
菠菜(元/公斤),2016年,28.38,50.97,37.23,35.85,-,42.28,71.67,54.07,53.80,75.18,47.87,22.13,
芥藍(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
莧菜(元/公斤),2016年,33.22,-,52.35,39.97,18.83,25.15,27.43,23.40,30.60,55.69,44.23,30.71,
本島萵苣(元/公斤),2016年,24,52.45,36.72,24.26,16.87,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2016年,18.92,45.80,23.62,19.18,12.03,-,-,-,-,-,-,-,
茼萵(元/公斤),2016年,41.67,44.44,24.70,17,-,-,-,-,-,69.50,49.44,34.59,
花椰菜(白)(元/公斤),2016年,15.55,29.63,35.84,28.36,32.29,32.75,35.73,38.44,42.89,69.37,70.03,29.11,
青花苔(元/公斤),2016年,20.86,36.38,37.67,32.88,-,-,-,-,-,-,-,-,
金針菜  (乾)(元/公斤),2016年,580.67,579,548.83,533.33,551.67,531.11,553.33,557.33,602.56,608.45,628.67,600.83,
越瓜(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
